Site ID	Site Name	Principal Investigator	Lat (deg)	Lon (deg)	Elevation (m)	Site Start	Site End	Fluxes
CA-TP4	Ontario - Turkey Point 1939 Plantation White Pine	M. Altaf Arain	42.7102	-80.3574	184	2003		"FC, H, LE"
CA-TPA	Ontario Turkey Point Observatory Agricultural Site	M. Altaf Arain	42.6947	-80.3487	200	2020		"FC, H, LE"
CA-TPD	Ontario - Turkey Point Mature Deciduous	M. Altaf Arain	42.6353	-80.5577	260	2012		"FC, H, LE"
CA-TVC	Trail Valley Creek	Philip Marsh	68.7462	-133.5017	85	2013		"FC, FCH4, H, LE"
CA-WP1	"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen"	Lawrence B. Flanagan	54.9538	-112.4670	540	2003		"FC, H, LE"
CA-WP2	Alberta - Western Peatland - Poor Fen (Sphagnum moss)	Lawrence B. Flanagan	55.5375	-112.3343		2004	2004	"FC, H, LE"
CA-WP3	Alberta - Western Peatland - Rich Fen  (Carex)	Lawrence B. Flanagan	54.4700	-113.3200		2004	2004	"FC, H, LE"
CA-WRF	White River Fen	Carlos Barreto	48.3513	-85.3571	485	2024		
NA	Sibbald Fen	Rich Petrone	51.0600	-114.8700	1490	2006		
NA	Finn’s Fen	David Olefeldt	59.2610	-117.4205				
NA	"Yukon, Wolf Creek Research Basin 1"	Sean Carey	60.5969	-134.9528	NA	2017	2020?	
NA	"Yukon, Wolf Creek Research Basin 2"	Sean Carey	60.5216	-135.1972	NA	2017	2020?	
NA	"Yukon, Wolf Creek Research Basin 3"	Sean Carey	60.5451	-135.1910	NA	2017	2020?	
NA	"NWT, Mackenzie Delta"	June Skeeter's PhD site	69.3723	-134.8811	NA	2017		
NA	"Quebec, Magog 1"	Ali Nazemi	45.2675	-72.1615	NA	2020	2022?	
NA	"Quebec, Magog 2"	Ali Nazemi	45.2828	-72.1664	NA	2020	2022?	
NA	"NWT, Yellowknife Airport"	Elyn Humphrys	62.4709	-114.4380	NA	2017		
NA	"Nunuvit, Cambridge Bay 1"	Alex Roy	69.2346	-104.9033	NA	2022	Ongoing	
NA	"Nunuvit, Cambridge Bay 2"	Alex Roy	69.2220	-104.8980	NA	2022	Ongoing	
NA	"Nunuvit, Cambridge Bay 3"	Group from Korea			NA	2017		
NA	"Quebec, Saint Sophie"	Oliver Sonnentag	45.7759	-73.9088	NA	2022		
NA	"Quebec, Sainte-Marthe (Rigaud)"	Michel Baraër? GEOTOP at UQAM			NA	2024?		
